直播id,直播开始时间,直播结束时间,GPM,9990,累计观看人数,新增粉丝数,999,整体成单率,直播间评论次数,直播间分享次数,整体下单率,整体下单数,直播间平均成单金额(元),直播间新加团人数,直播间商品点击次数,直播间查看购物车次数,直播间打赏次数,消耗(元),广告GPM(元),广告ROI,广告成交金额(元),广告成单数,广告成单率,广告点击次数,广告点击率,平均千次展现费用(元),广告下单数,广告下单率,广告点击单价(元),广告转化率,广告转化数,广告转化成本(元),广告平均成单金额(元),广告引导超1分钟观看人数
7.01E+18,1633172060,1633190177,0,0,78033,1722,0,0,4426,40,0,0,0,59,18758,28384,123,37189.55,0,0,0,0,0,31936,2.24,26.07,0,0,1.16,6.63,2117,17.57,0,8445
7.01E+18,1633258451,1633276624,0,0,64933,1385,0,0,4650,30,0,0,0,47,17214,25347,165,28021.22,0,0,0,0,0,25208,2.45,27.22,0,0,1.11,6.97,1757,15.95,0,7058
7.02E+18,1633344867,1633363070,0,0,86547,2250,0,0,6146,41,0,0,0,52,21547,32242,158,37228.89,0,0,0,0,0,33742,2.3,25.33,0,0,1.1,6.28,2119,17.57,0,9116
7.02E+18,1633326857,1633336129,0,0,26945,439,0,0,1760,8,0,0,0,11,6447,9713,50,8454.79,0,0,0,0,0,7208,2.53,29.68,0,0,1.17,7.69,554,15.26,0,1957
7.02E+18,1633431244,1633449417,1374.48,93513.86,68036,1399,3095,12.61,4398,43,16.62,4077,30.21,48,16775,24454,141,26867.59,0,0,0,0,0,24538,2.31,25.25,0,0,1.09,7.2,1766,15.21,0,6595
7.02E+18,1633517657,1633535707,0,0,78782,2085,0,0,6457,53,0,0,0,48,19285,28397,162,46868.27,0,0,0,0,0,38061,2.16,26.62,0,0,1.23,6.86,2612,17.94,0,10047
7.02E+18,1633604046,1633622293,2125.21,232035.17,109182,3892,7346,12.97,9260,57,16.23,9190,31.59,70,30156,41995,225,76405.42,0,0,0,0,0,56627,2.29,30.93,0,0,1.35,8.01,4537,16.84,0,16018
7.02E+18,1633776860,1633795001,0,0,66881,1116,0,0,4219,50,0,0,0,43,16004,25060,118,25760.16,0,0,0,0,0,25516,2.12,21.41,0,0,1.01,5.5,1404,18.35,0,6338
7.02E+18,1633863254,1633881388,1649.96,149200.61,90427,2176,4422,11.76,7145,70,15.25,5735,33.74,70,23466,35561,154,43859.31,0,0,0,0,0,37615,2.3,26.83,0,0,1.17,6.64,2496,17.57,0,10152
7.02E+18,1633949672,1633967790,0,0,72303,1290,0,0,6540,55,0,0,0,77,20649,32061,150,27356.21,0,0,0,0,0,22047,2.34,29.06,0,0,1.24,6.88,1516,18.04,0,6398
7.02E+18,1634036088,1634053963,0,0,61403,1118,0,0,5712,55,0,0,0,49,19293,28969,108,21795.26,0,0,0,0,0,19399,2.34,26.26,0,0,1.12,6.5,1261,17.28,0,5751
7.02E+18,1634122455,1634140598,0,0,78430,1799,0,0,7804,42,0,0,0,70,23637,36031,157,32129.87,0,0,0,0,0,27179,2.58,30.52,0,0,1.18,7.69,2091,15.37,0,8531
7.02E+18,1634212452,1634216316,0,0,19522,227,0,0,1186,14,0,0,0,7,5159,7388,31,3524.69,0,0,0,0,0,2764,1.94,24.78,0,0,1.28,8.47,234,15.06,0,713
7.02E+18,1634208958,1634209386,0,0,176,1,0,0,19,0,0,0,0,0,86,85,0,2.8,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
7.02E+18,1634295283,1634308659,0,0,137268,5017,0,0,19154,99,0,0,0,196,49305,67018,369,89456.27,0,0,0,0,0,66517,2.31,31.1,0,0,1.34,7.98,5306,16.86,0,20401
7.02E+18,1634295272,1634295277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.02E+18,1634381735,1634396845,0,0,140217,4625,0,0,16429,80,0,0,0,216,48711,63527,376,92483.87,0,0,0,0,0,65982,2.43,34.05,0,0,1.4,8.39,5536,16.71,0,19257
7.02E+18,1634468131,1634483922,2451.61,518580.13,211526,8529,15809,15.91,21263,132,19.81,19680,32.8,287,67385,87320,510,147778.12,0,0,0,0,0,99342,2.42,35.96,0,0,1.49,8.6,8547,17.29,0,28896
7.02E+18,1634554507,1634563323,0,0,113114,3359,0,0,8864,85,0,0,0,113,32698,41813,196,57694.39,0,0,0,0,0,44161,1.97,25.7,0,0,1.31,7.8,3444,16.75,0,12326
7.02E+18,1634727320,1634742971,0,0,231467,5044,0,0,15882,87,0,0,0,150,59155,73127,659,64870.92,0,0,0,0,0,51653,2.12,26.65,0,0,1.26,7.7,3977,16.31,0,16626
7.02E+18,1634813727,1634827793,1930.59,334612.34,173321,4529,9663,14.62,13254,89,18.14,11989,34.63,115,45254,60217,481,86525.29,0,0,0,0,0,61931,2.04,28.44,0,0,1.4,7.22,4474,19.34,0,18179
7.02E+18,1634900135,1634917163,0,0,178270,4445,0,0,14760,111,0,0,0,131,44880,60457,494,89290.75,0,0,0,0,0,67206,2.14,28.39,0,0,1.33,6.47,4349,20.53,0,20643
7.02E+18,1634986535,1635003050,2822.62,502441.29,178005,6896,12475,11.08,18582,123,13.52,15221,40.28,169,53119,69881,623,154195.04,0,0,0,0,0,110318,2.1,29.38,0,0,1.4,7.84,8648,17.83,0,29149
7.02E+18,1635072904,1635089441,0,0,178944,6707,0,0,18961,80,0,0,0,170,48275,66427,650,131269.79,0,0,0,0,0,99121,2.03,26.89,0,0,1.32,6.29,6234,21.06,0,26884
7.02E+18,1635245705,1635258075,2222.22,513046.12,230871,8036,13619,14.42,22223,143,18.63,17590,37.67,257,66741,86699,740,136862.91,0,0,0,0,0,88270,2.32,35.9,0,0,1.55,7.77,6862,19.95,0,27687
7.02E+18,1635332127,1635346662,2329.95,554096.06,237815,9144,14264,13.76,23121,136,17.45,18089,38.85,251,64675,86744,793,145731.74,0,0,0,0,0,97240,2.18,32.65,0,0,1.5,7.18,6981,20.88,0,34136
7.02E+18,1635418539,1635434820,2247.52,504805.6,224606,6783,14008,15.35,20922,120,18.93,17274,36.04,203,62597,81299,694,133796.82,0,0,0,0,0,85834,2.16,33.65,0,0,1.56,7.31,6278,21.31,0,26660
7.02E+18,1635591306,1635607476,0,0,195902,7273,0,0,23209,87,0,0,0,232,60564,79703,725,135511.48,0,0,0,0,0,79431,2.32,39.53,0,0,1.71,8.13,6459,20.98,0,25082
7.03E+18,1635677724,1635688961,2203.15,403385.9,183095,5666,10654,16.45,15959,100,20.64,13364,37.86,224,49343,65382,636,99721.59,0,0,0,0,0,64760,2.11,32.45,0,0,1.54,7.58,4906,20.33,0,20334
7.03E+18,1635764104,1635778638,2320.05,509387.25,219559,7274,13365,15.64,20679,122,19.59,16742,38.11,239,63156,82503,659,143978.67,3873.38,2.12,305733.33,7764,9.09,85450,2.14,36.06,9925,11.61,1.68,7.3,6238,23.08,39.38,27502
7.03E+18,1635850528,1635868779,2927.48,1006878.9,343941,14367,23932,16.28,37236,233,20.17,29656,42.07,473,102647,129734,1384,285212.12,5176.77,2.45,700039.02,16372,11.14,147011,2.31,44.88,20505,13.95,1.94,8.33,12246,23.29,42.76,49419
7.03E+18,1635936936,1635958070,2734,1005979.46,367951,13699,24593,17.34,35909,193,21.57,30606,40.91,546,101921,128862,1152,290736.43,5444.01,2.45,712588.53,17196,12.12,141863,2.31,47.34,21546,15.19,2.05,8.65,12275,23.69,41.44,46107
7.03E+18,1636109710,1636127945,2797.38,946767.21,338448,12477,22578,15.33,36478,198,19.1,28125,41.93,430,93509,119937,964,278640.18,5103.39,2.48,691871.75,16323,11.08,147263,2.26,42.69,20567,13.97,1.89,8.05,11852,23.51,42.39,47133
7.03E+18,1636196105,1636214332,3074.05,859998.08,279761,11484,20402,13.73,33960,158,17.1,25412,42.15,438,80662,103009,925,263170.89,4683.18,2.43,639273.12,15063,10.14,148615,2.28,40.46,18927,12.74,1.77,7.73,11484,22.92,42.44,46830
7.03E+18,1636376104,1636384856,0,0,91474,2720,0,0,10961,63,0,0,0,111,30079,36039,224,91982.22,4425.86,1.81,166168.82,4368,10.71,40789,2.72,61.24,5506,13.5,2.26,8.37,3413,26.95,38.04,15292
7.03E+18,1636350970,1636373109,2674.41,677653.57,253384,10383,16137,13.18,35798,163,17.05,20875,41.99,471,70543,91374,1125,235920.35,4283.17,2.06,486003.02,11310,9.24,122433,2.2,42.32,14787,12.08,1.93,7.27,8899,26.51,42.97,45205
7.03E+18,1636455307,1636470031,2661.13,324559.58,121963,3524,8603,15.99,14448,100,20.32,10928,37.73,136,41203,50499,325,105553.38,4425.48,2.09,220366.9,5886,10.94,53786,2.68,52.55,7564,14.06,1.96,9.08,4882,21.62,37.44,18688
7.03E+18,1636541714,1636557192,0,0,163739,4675,0,0,18816,125,0,0,0,217,52381,63821,453,146479.24,5134.86,1.95,286140.28,7262,12.06,60216,2.74,66.71,9219,15.31,2.43,9.13,5500,26.63,39.4,22922
7.03E+18,1636628353,1636642639,3100.62,624077.57,201275,6016,16367,17.81,20790,146,22.84,20994,38.13,195,70508,83213,425,210216.3,5074.52,1.92,404155.27,10729,12.39,86621,2.58,62.62,13944,16.1,2.43,9.3,8058,26.09,37.67,31051
7.03E+18,1636714508,1636730253,2374.75,361398.7,152184,4516,10193,15.1,15898,112,18.67,12599,35.46,182,45845,56521,466,120353.23,4065.26,2.1,253306.54,7149,10.59,67487,2.44,43.43,8900,13.19,1.78,8.01,5405,22.27,35.43,21666
7.03E+18,1636800931,1636818967,2482.6,289587.35,116647,3619,8535,15.38,14443,162,18.86,10463,33.93,126,37871,47055,388,86329.2,3969.24,2.37,204769.24,6072,10.94,55488,2.5,38.94,7520,13.55,1.56,8.73,4843,17.83,33.72,18402
7.03E+18,1636887271,1636903231,2303.93,279012.27,121103,3676,8791,14.8,13104,92,18.04,10721,31.74,119,37927,46709,359,88102.4,3679.88,2.31,203085.37,6431,10.82,59417,2.31,34.25,7884,13.27,1.48,8.46,5028,17.52,31.58,18948
7.03E+18,1637060100,1637074778,2471.73,374689.36,151590,5041,12099,14.47,16148,155,17.77,14859,30.97,143,47116,59094,427,123852.93,3745.41,2.3,285149.06,9486,11.35,83612,2.6,38.54,11698,13.99,1.48,9.14,7640,16.21,30.06,25585
7.03E+18,1637146495,1637160045,2590.39,317515.02,122574,3948,10028,14.68,12616,155,17.58,12011,31.66,140,39331,48422,341,79544.38,4073.54,2.85,226460.22,7388,12.25,60319,2.66,35.05,8926,14.8,1.32,9.6,5792,13.73,30.65,20694
7.03E+18,1637232899,1637250426,2559.01,411557.81,160827,5905,12524,13.59,19704,173,16.39,15098,32.86,192,49924,61720,420,124404.52,3822.16,2.54,316222.62,9798,10.86,90239,2.7,37.23,11826,13.11,1.38,8.61,7771,16.01,32.27,29890
7.03E+18,1637405396,1637421023,2406.42,333337.45,138520,3998,10414,14.31,13553,163,17.54,12764,32.01,134,43277,51972,0,95028.73,3592.75,2.45,233076.04,7540,10.64,70841,2.51,33.7,9305,13.14,1.34,8.4,5948,15.98,30.91,22211
7.03E+18,1637491784,1637506420,2422.7,348585.8,143883,4153,11001,15.06,12849,165,18.41,13446,31.69,92,47963,55480,378,96457.33,3831.34,2.61,251695.86,8176,11.19,73051,2.56,33.78,10000,13.69,1.32,8.88,6484,14.88,30.78,22217
7.03E+18,1637578202,1637592285,0,0,126414,3592,0,0,10945,133,0,0,0,109,41443,48837,334,87052.73,3695.83,2.6,226543.37,7649,11.24,68065,2.65,33.9,9435,13.86,1.28,8.39,5709,15.25,29.62,20597
7.03E+18,1637664606,1637680820,0,0,119417,3483,0,0,11450,124,0,0,0,64,40566,48515,284,85120.11,3996.08,2.62,222865.29,6941,11.35,61150,2.69,37.39,8512,13.92,1.39,8.43,5157,16.51,32.11,18698
7.03E+18,1637751379,1637766550,0,0,63593,1134,0,0,5527,86,0,0,0,42,23076,25645,166,18833.4,3830.51,2.56,48252.88,1741,12.84,13564,2.39,33.21,2096,15.45,1.39,9.37,1271,14.82,27.72,4393
7.03E+18,1637751003,1637751278,0,0,1661,3,0,0,24,1,0,0,0,0,194,231,5,422.83,601.79,0.08,33.7,2,2.99,67,2.29,144.26,2,2.99,6.31,4.48,3,140.94,16.85,5
7.03E+18,1637923814,1637940599,0,0,111435,3153,0,0,10872,138,0,0,0,82,38042,45594,243,86874.2,4379.34,2.72,236221.51,6804,11.68,58258,2.38,35.54,8359,14.35,1.49,8.4,4896,17.74,34.72,18514
7.04E+18,1638269407,1638277384,3406.83,190605.41,55948,1577,5568,20.99,6915,80,25.2,6686,34.23,36,23564,28167,166,33955.79,4809.28,3.47,117995.66,3669,13.83,26531,2.67,34.21,4439,16.73,1.28,10.09,2678,12.68,32.16,9126
7.04E+18,1638355796,1638375695,0,0,151771,5337,0,0,15572,170,0,0,0,111,57394,67439,399,124747.63,4578.37,2.81,350913.74,10315,12.41,83144,2.54,38.14,12595,15.15,1.5,8.77,7293,17.11,34.02,27279
7.04E+18,1638442503,1638457044,3038.62,301893.11,99352,2789,8402,16.36,9003,99,20.01,10275,35.93,70,36071,42745,255,78242.31,4648.59,2.79,218539.48,6208,12.09,51353,2.61,39.74,7620,14.84,1.52,8.78,4511,17.34,35.2,16609
7.04E+18,1638528602,1638544167,2910.57,304311.63,104554,3206,8582,15.31,9133,126,18.76,10512,35.46,71,36469,43397,248,86027.84,4226.54,2.55,219137.77,6329,11.29,56046,2.33,35.78,7745,13.82,1.53,8.25,4626,18.6,34.62,16885
7.04E+18,1638615004,1638634379,2929.66,300182.04,102463,2726,8088,15.29,10246,83,18.63,9855,37.11,77,36432,42537,298,82191.71,4342.49,2.58,211939.38,5817,11,52901,2.53,39.35,7073,13.37,1.55,9.32,4930,16.67,36.43,15919
7.04E+18,1638701404,1638719166,2864.51,401609.64,140202,4526,11466,13.5,14145,317,16.51,14024,35.03,83,47528,56500,362,121803.58,3811.8,2.46,299569.6,8830,10.39,84945,2.25,32.33,10840,12.76,1.43,8.11,6893,17.67,33.93,24395
7.04E+18,1638787852,1638805949,0,0,168790,3104,0,0,10521,147,0,0,0,83,42062,48541,336,83488.47,2411.36,2.34,195154.09,5835,6.77,86175,3.65,35.32,7175,8.33,0.97,5.51,4744,17.6,33.45,22717
7.04E+18,1638960603,1638977971,1659.86,364356.89,219511,3993,11074,10.35,12885,177,12.64,13523,32.9,96,48919,55931,441,93219.88,2255.24,2.44,227593.93,7075,6.61,106994,5.39,46.92,8647,8.08,0.87,5.05,5400,17.26,32.17,29738
7.04E+18,1639047002,1639063594,0,0,187942,3327,0,0,10195,128,0,0,0,125,38031,45485,391,85076,2043.43,2.48,211087.88,6164,5.88,104751,4.6,37.36,7613,7.27,0.81,4.84,5073,16.77,34.25,28566
7.04E+18,1639133410,1639150936,0,0,93235,2165,0,0,8356,80,0,0,0,283,30871,35452,395,59828.23,3008.39,2.1,125907.1,3992,8.92,44762,2.29,30.59,5515,12.32,1.34,8.05,3604,16.6,31.54,14111
7.04E+18,1639219810,1639234589,0,0,70602,1527,0,0,8095,79,0,0,0,102,27612,30754,279,44984.24,4309.04,2.63,118524.41,3323,11.2,29666,2.84,43.13,4668,15.74,1.52,9.8,2907,15.47,35.67,10571
7.04E+18,1639305212,1639323034,3460.16,424122.13,122573,3610,10549,18.95,14253,128,26.11,14535,40.2,163,47895,52926,457,109677.38,5506.6,2.61,285946.51,7282,13.08,55667,2.8,55.24,10162,18.25,1.97,9.52,5297,20.71,39.27,20061
7.04E+18,1639479016,1639479944,0,0,3655,24,0,0,237,2,0,0,0,0,857,1544,12,1283.33,2822.4,1.61,2066,23,2.94,782,3.58,58.73,32,4.09,1.64,2.81,22,58.33,89.83,161
7.04E+18,1639824964,1639840897,2637.82,194402.2,73698,1026,4494,20.89,6927,81,25.37,5458,43.26,297,27166,37123,508,25421.01,4471.95,3.53,89752.02,2170,10.09,21514,3.8,44.94,2635,12.25,1.18,7.86,1691,15.03,41.36,7298
7.04E+18,1639911327,1639925752,2328.18,121293.41,52098,770,2738,16.61,5011,54,19.86,3273,44.3,156,17859,24386,366,18036.86,3990.13,3.4,61316.3,1411,8.56,16481,3.68,40.26,1693,10.27,1.09,6.86,1130,15.96,43.46,5465
7.04E+18,1640256905,1640271458,2692.11,142775.87,53035,770,3368,19.74,6860,72,23.35,3984,42.39,41,21612,27611,245,20763.76,4314.18,3.27,67883.6,1674,9.81,17062,3.44,41.82,1959,11.48,1.22,7.98,1361,15.26,40.55,6073
7.05E+18,1640688947,1640700074,3482.31,175713.69,50459,784,3779,20.31,6599,47,24.19,4501,46.5,47,20462,26107,231,21953.72,5226.8,4.1,89995.1,2014,10.82,18609,4.62,54.46,2387,12.83,1.18,8.47,1577,13.92,44.68,6453
7.05E+18,1640948145,1640959025,2567.43,82997.4,32327,316,1649,18.67,4027,25,23.25,2054,50.33,25,11124,16320,196,8453.75,4533.69,4.36,36854.4,754,8.54,8834,4.8,45.93,945,10.7,0.96,7.04,622,13.59,48.88,3043
7.05E+18,1641034500,1641052657,3238.19,824794.03,254708,6941,15677,9.99,20304,228,13.76,21589,52.61,279,70143,80182,795,175166.33,3137.74,2.74,479205.08,9438,6.02,156863,3.99,44.55,13390,8.54,1.12,5.31,8327,21.04,50.77,43020
7.05E+18,1641117534,1641133839,2049.06,304848.92,148775,3027,6378,7.82,10151,173,11.84,9659,47.8,127,34274,41981,450,68866.39,2244.37,2.58,177843.99,3836,4.7,81602,3.86,32.54,5999,7.35,0.84,4.62,3766,18.29,46.36,22553
7.05E+18,1641207305,1641225263,0,0,119072,2538,0,0,8520,92,0,0,0,115,29930,35300,312,77598.88,2818.81,2.63,204329.79,4380,5.83,75119,3.97,41.04,6187,8.24,1.03,5.06,3798,20.43,46.65,18666
7.05E+18,1641293705,1641309925,2096.06,221123.6,105495,1651,4683,9.73,6503,94,13.03,6272,47.22,43,23970,30120,246,50128.35,2492.33,2.32,116058.07,2534,5.26,48133,4.79,49.88,3525,7.32,1.04,4.65,2237,22.41,45.8,15441
7.05E+18,1641380117,1641396581,1954.14,268407.49,137353,2784,8565,9.53,9307,122,11.75,10561,31.34,61,31986,40114,280,103871.96,2228.66,1.87,194575.78,6421,7.14,89884,3.97,45.91,7993,8.89,1.16,5.88,5283,19.66,30.3,21218
7.05E+18,1641362155,1641378391,0,0,27775,317,0,0,1223,14,0,0,0,5,6660,8366,39,13247.65,2082.66,1.92,25485.54,605,4.88,12385,3.78,40.47,770,6.22,1.07,4.34,537,24.67,42.12,2974
7.05E+18,1641466497,1641482994,0,0,88289,1407,0,0,6167,80,0,0,0,43,23667,27737,220,53494.54,2476.32,2.19,117164.38,3020,6.18,48832,4.79,52.46,3839,7.86,1.1,5.33,2604,20.54,38.8,11700
7.05E+18,1641448515,1641464442,0,0,26914,347,0,0,1378,21,0,0,0,11,6439,8118,37,11747.96,2617.78,2.63,30936.97,578,4.7,12305,3.47,33.09,720,5.85,0.95,4.27,526,22.33,53.52,3099
7.05E+18,1641552904,1641569138,1973.4,290807.73,147364,4096,9526,10.43,18476,162,12.89,11766,30.53,90,37775,45451,376,108964.3,2331.71,1.9,206661.91,7199,7.88,91300,4.11,49.01,8913,9.76,1.19,6.67,6094,17.88,28.71,24067
7.05E+18,1641534930,1641549363,0,0,21421,190,0,0,876,9,0,0,0,9,4592,5229,32,7825.1,1878.54,2.26,17686.5,346,3.68,9404,4.22,35.08,416,4.42,0.83,3.54,333,23.5,51.12,2304
7.05E+18,1641639309,1641656010,1591.66,154263.75,96920,1407,4478,9.17,9200,80,11.37,5555,34.45,54,21467,26228,225,42242.26,1492.8,1.69,71306.78,2225,4.55,48852,5.54,47.87,2869,5.87,0.86,3.97,1937,21.81,32.05,12755
7.05E+18,1641624610,1641637835,0,0,33764,509,0,0,2331,20,0,0,0,18,7158,9159,65,13009.88,1332.57,1.58,20528.27,603,3.87,15581,4.07,33.96,721,4.63,0.83,3.51,547,23.78,34.04,4239
7.05E+18,1641725764,1641742017,0,0,104893,1610,0,0,11114,97,0,0,0,56,22337,26807,258,49665.62,2034.02,2.42,119996.73,2250,3.74,60175,5.64,46.51,3023,5.02,0.83,3.66,2201,22.57,53.33,14782
7.05E+18,1641707764,1641724003,0,0,57048,765,0,0,2896,28,0,0,0,26,10086,12038,112,23109.27,1033.08,1.57,36280.81,1136,3.25,35001,4.82,31.8,1466,4.19,0.66,3.13,1096,21.09,31.94,7512
7.05E+18,1641812602,1641829044,0,0,59670,812,0,0,6502,47,0,0,0,47,14232,18001,174,30647.01,2070.94,2.01,61714.04,1526,4.94,30902,4.84,48.04,2081,6.73,0.99,4.74,1464,20.93,40.44,7991
7.05E+18,1641794115,1641810382,0,0,41604,614,0,0,2206,19,0,0,0,13,7201,9243,62,18996.87,1428.21,1.76,33418.69,831,3.55,23419,3.61,29.31,1086,4.64,0.81,3.49,817,23.25,40.22,5838
7.05E+18,1641898511,1641914729,1583.42,85134.01,53766,548,1946,7.38,4369,53,10.07,2653,43.75,35,13824,16352,155,21246.5,1707.33,2.06,43728.23,1069,4.06,26356,5.78,46.6,1498,5.68,0.81,3.81,1004,21.16,40.91,6544
7.05E+18,1641880508,1641896736,0,0,32908,388,0,0,2227,29,0,0,0,9,6451,8023,55,13002.53,1246.37,1.63,21241.9,661,3.88,17035,4.57,34.91,872,5.12,0.76,3.57,608,21.39,32.14,4045
7.05E+18,1641984907,1642001129,0,0,52795,692,0,0,5069,64,0,0,0,34,14718,17773,141,30053.87,2864.07,2.52,75600.05,1631,5.98,27292,5.05,55.61,2304,8.44,1.1,5.18,1415,21.24,46.35,7276
7.05E+18,1641966893,1641983111,0,0,27902,302,0,0,1703,19,0,0,0,11,5294,6741,48,11123.93,1278.23,1.72,19132.48,579,3.89,14888,3.71,27.68,726,4.88,0.75,3.4,506,21.98,33.04,3611
7.05E+18,1642071301,1642087528,1869.07,119381.37,63872,856,2405,6.29,4981,48,8.71,3331,49.64,41,13078,16479,153,36951.71,2168.49,2.19,80782.93,1668,4.36,38251,4.33,41.87,2378,6.22,0.97,4.15,1588,23.27,48.43,9319
7.05E+18,1642056307,1642069516,0,0,18109,202,0,0,1172,12,0,0,0,6,4587,5662,39,7176.3,1807.14,1.97,14106.53,428,5.39,7938,3.62,32.77,547,6.89,0.9,5.28,419,17.13,32.96,1998
7.05E+18,1642157708,1642173926,0,0,49661,504,0,0,3790,52,0,0,0,27,11535,14213,89,22954.49,2155.47,2.38,54531.31,1131,4.38,25851,4.66,41.4,1603,6.2,0.89,4.29,1110,20.68,48.22,6500
7.05E+18,1642139708,1642155932,0,0,15691,204,0,0,1149,12,0,0,0,7,4770,5304,18,5875.15,2163.19,2.09,12284.74,317,5.1,6216,3.77,35.6,414,6.66,0.95,4.91,305,19.26,38.75,1578
7.05E+18,1642244108,1642260324,2766.35,166681.11,60253,856,3451,10.17,6069,42,13.5,4580,48.3,36,16890,20329,151,39776.27,3504.76,2.89,114885.93,2429,7.16,33938,4.3,50.38,3285,9.68,1.17,6.15,2088,19.05,47.3,9058
7.05E+18,1642226132,1642242343,0,0,26569,230,0,0,1122,15,0,0,0,7,5071,5783,39,9013.88,1215.5,1.59,14288.19,440,3.75,11747,4.32,33.14,594,5.06,0.77,3.89,457,19.72,32.47,2861
7.05E+18,1642330510,1642346738,0,0,55079,668,0,0,4736,41,0,0,0,42,15547,18092,145,27425.28,3040.49,3.04,83467.57,1682,5.99,28099,4.22,41.2,2216,7.89,0.98,5.18,1455,18.85,49.62,7359
7.05E+18,1642312517,1642328725,0,0,34910,296,0,0,1522,19,0,0,0,9,6436,7424,32,12708.9,1108.43,1.6,20331.95,583,3.21,18186,3.64,25.45,698,3.84,0.7,2.98,542,23.45,34.87,4107
7.05E+18,1642503325,1642519548,0,0,49752,504,0,0,4995,45,0,0,0,27,16107,18543,118,28006.02,3291.63,2.61,73215.67,1672,7.18,23281,4.02,48.31,2029,8.72,1.2,5.7,1328,21.09,43.79,6163
7.05E+18,1642589703,1642605941,0,0,43979,538,0,0,4737,44,0,0,0,31,14229,16345,125,20346.87,3060.59,2.98,60639.38,1291,6.25,20657,4.54,44.73,1623,7.86,0.98,5.19,1073,18.96,46.97,6222
7.06E+18,1642676105,1642692389,1609.68,61766.8,38372,398,1464,7.71,2861,40,9.47,1800,42.19,17,10709,13381,91,18544.03,2014.17,1.98,36794.9,899,4.73,18998,3.89,37.95,1111,5.85,0.98,4.43,842,22.02,40.93,4712
